character,accuracy,correct,total,percentage_%
218:'Ú',0.39591836734693875,194,490,39.59183673469388
221:'Ý',0.3983050847457627,188,472,39.83050847457627
222:'Þ',0.3994082840236686,135,338,39.94082840236686
164:'¤',0.4019138755980861,168,418,40.19138755980861
171:'«',0.4057649667405765,183,451,40.57649667405765
93:']',0.4066390041493776,196,482,40.66390041493776
169:'©',0.4068965517241379,177,435,40.689655172413794
216:'Ø',0.4090019569471624,209,511,40.90019569471624
"44:','",0.4091981132075472,347,848,40.91981132075472
59:';',0.4095860566448802,188,459,40.95860566448802
"34:'""'",0.4118236472945892,411,998,41.18236472945892
166:'¦',0.41353383458646614,165,399,41.35338345864661
73:'I',0.41712403951701427,380,911,41.712403951701425
215:'×',0.41887905604719766,142,339,41.88790560471977
174:'®',0.4223918575063613,166,393,42.23918575063613
198:'Æ',0.425414364640884,231,543,42.5414364640884
45:'-',0.4294049008168028,368,857,42.94049008168028
38:'&',0.43526785714285715,390,896,43.526785714285715
96:'`',0.4367509986684421,328,751,43.67509986684421
202:'Ê',0.43873517786561267,222,506,43.873517786561266
177:'±',0.44226044226044225,180,407,44.22604422604422
92:'\\',0.44664634146341464,293,656,44.66463414634146
95:'_',0.45114345114345117,217,481,45.11434511434512
94:'^',0.46008119079837617,340,739,46.00811907983762
33:'!',0.4913294797687861,510,1038,49.13294797687861
86:'V',0.49311926605504586,430,872,49.31192660550459
187:'»',0.49363867684478374,194,393,49.36386768447837
37:'%',0.49415204678362573,338,684,49.41520467836257
125:'}',0.5044563279857398,283,561,50.44563279857398
68:'D',0.5050691244239631,548,1085,50.50691244239631
123:'{',0.5072463768115942,245,483,50.72463768115942
247:'÷',0.5089285714285714,171,336,50.89285714285714
46:'.',0.512707182320442,464,905,51.270718232044196
87:'W',0.5188235294117647,441,850,51.88235294117647
72:'H',0.5309568480300187,566,1066,53.09568480300187
90:'Z',0.5455580865603644,479,878,54.55580865603644
88:'X',0.5471264367816092,476,870,54.71264367816092
84:'T',0.5477272727272727,482,880,54.77272727272727
66:'B',0.5486806187443131,603,1099,54.868061874431305
83:'S',0.5492180312787488,597,1087,54.92180312787488
85:'U',0.5513347022587269,537,974,55.13347022587269
71:'G',0.5619747899159664,535,952,56.19747899159664
65:'A',0.5654450261780105,648,1146,56.54450261780105
77:'M',0.570264765784114,560,982,57.0264765784114
67:'C',0.5769230769230769,555,962,57.692307692307686
81:'Q',0.5792474344355758,508,877,57.92474344355758
74:'J',0.5967213114754099,546,915,59.67213114754099
89:'Y',0.5984162895927602,529,884,59.841628959276015
82:'R',0.6034648700673725,627,1039,60.34648700673725
209:'Ñ',0.61003861003861,316,518,61.003861003861005
42:'*',0.610981308411215,523,856,61.0981308411215
41:')',0.6173120728929385,542,878,61.731207289293856
75:'K',0.6215005599104143,555,893,62.150055991041434
69:'E',0.6306400839454355,601,953,63.06400839454355
76:'L',0.6381798002219756,575,901,63.81798002219756
56:'8',0.6423191052271171,2814,4381,64.23191052271171
70:'F',0.6432889963724304,532,827,64.32889963724304
47:'/',0.6523016650342801,666,1021,65.23016650342801
35:'#',0.6583710407239819,582,884,65.83710407239819
80:'P',0.6619411123227917,607,917,66.19411123227917
36:'$',0.6729500471253534,714,1061,67.29500471253534
40:'(',0.6811926605504587,594,872,68.11926605504587
62:'>',0.6962127316680097,864,1241,69.62127316680096
52:'4',0.6966615078487729,3151,4523,69.66615078487729
50:'2',0.7058075455701568,3330,4718,70.58075455701568
78:'N',0.7115577889447237,708,995,71.15577889447236
57:'9',0.7232188621219887,2822,3902,72.32188621219888
43:'+',0.7279596977329975,867,1191,72.79596977329975
49:'1',0.7653676830262515,4694,6133,76.53676830262515
48:'0',0.7692435301924353,4637,6028,76.92435301924353
51:'3',0.7698993595608418,3366,4372,76.98993595608418
54:'6',0.7814219212865002,3693,4726,78.14219212865002
53:'5',0.7982723577235772,3142,3936,79.82723577235772
60:'<',0.821376281112738,1683,2049,82.1376281112738
55:'7',0.8390685640362225,3243,3865,83.90685640362226
